EXT ; OPC ; ASM            ; XEMU
$00 ; $C3 ; DEW  $nn       ;   6
$00 ; $C4 ; CPY  $nn       ;   3
$00 ; $C5 ; CMP  $nn       ;   3
$03 ; $C5 ; CMPQ $nn       ;  11
$00 ; $C6 ; DEC  $nn       ;   4
$03 ; $C6 ; DEQ  $nn       ;   8
$00 ; $C7 ; SMB4 $nn       ;   4
$00 ; $C8 ; INY            ;   1
$00 ; $C9 ; CMP  #$nn      ;   2
$00 ; $CA ; DEX            ;   1
$00 ; $CB ; ASW  $nnnn     ;   7
$00 ; $CC ; CPY  $nnnn     ;   4
$00 ; $CD ; CMP  $nnnn     ;   4
$03 ; $CD ; CMPQ $nnnn     ;  12
$00 ; $CE ; DEC  $nnnn     ;   5
$03 ; $CE ; DEQ  $nnnn     ;   9
$00 ; $CF ; BBS4 $nn,$rr   ;   4
$01 ; $CF ; BBS4 $nn,$rr   ;   5
$00 ; $D7 ; SMB5 $nn       ;   4
$00 ; $D8 ; CLD            ;   1
$00 ; $DA ; PHX            ;   3
$00 ; $DB ; PHZ            ;   3
$00 ; $DF ; BBS5 $nn,$rr   ;   4
$01 ; $DF ; BBS5 $nn,$rr   ;   5
$00 ; $E3 ; INW  $nn       ;   6
$00 ; $E4 ; CPX  $nn       ;   3
$00 ; $E5 ; SBC  $nn       ;   3
$03 ; $E5 ; SBCQ $nn       ;  11
$00 ; $E6 ; INC  $nn       ;   4
$03 ; $E6 ; INQ  $nn       ;   8
$00 ; $E7 ; SMB6 $nn       ;   4
$00 ; $E8 ; INX            ;   1
$00 ; $E9 ; SBC  #$nn      ;   2
$00 ; $EA ; NOP            ;   1
$00 ; $EB ; ROW  $nnnn     ;   6
$00 ; $EC ; CPX  $nnnn     ;   4
$00 ; $ED ; SBC  $nnnn     ;   4
$03 ; $ED ; SBCQ $nnnn     ;  12
$00 ; $EE ; INC  $nnnn     ;   5
$03 ; $EE ; INQ  $nnnn     ;   9
$00 ; $EF ; BBS6 $nn,$rr   ;   4
$01 ; $EF ; BBS6 $nn,$rr   ;   5
$00 ; $F4 ; PHW  #$nnnn    ;   5
$00 ; $F5 ; SBC  $nn,X     ;   3
$00 ; $F6 ; INC  $nn,X     ;   4
$03 ; $F6 ; INQ  $nn,X     ;   8
$00 ; $F7 ; SMB7 $nn       ;   4
$00 ; $F8 ; SED            ;   1
$00 ; $F9 ; SBC  $nnnn,Y   ;   4
$00 ; $FA ; PLX            ;   3
$00 ; $FB ; PLZ            ;   3
$00 ; $FC ; PHW  $nnnn     ;   7
$00 ; $FD ; SBC  $nnnn,X   ;   4
$00 ; $FE ; INC  $nnnn,X   ;   5
$03 ; $FE ; INQ  $nnnn,X   ;   9
$00 ; $FF ; BBS7 $nn,$rr   ;   4
$01 ; $FF ; BBS7 $nn,$rr   ;   5
